AÑO;MUNICIPIO;Apicultor;N° COLMENAS;PRODUCCIÓN DE MIEL (LTS)
2,016;BUENAVISTA;34;20;600
2,016;CHALAN;45;4;100
2,016;COLOSO;27;350;14
2,016;COROZAL;98;120;3,6
2,016;EL ROBLE;56;230;4,6
2,016;GALERAS;96;100;3
2,016;LOS PALMITOS;23;180;16,2
2,016;MORROA;130;387;9,675
2,016;OVEJAS;89;600;24
2,016;SAN BENITO ABAD;69;6;420
2,016;SAN JUAN DE BETULIA;89;10;50
2,016;SAN MARCOS;100;180;7,56
2,016;SAN ONOFRE;58;200;7
2,016;SAN PEDRO;120;155;2,325
2,016;SINCE;56;40;1,6
2,016;SINCELEJO;200;324;5,508
2,016;TOLUVIEJO;56;180;7,2
2,017;BUENAVISTA;49;25;600
2,017;CHALAN;56;16;320
2,017;COLOSO;97;350;14
2,017;COROZAL;23;216;6,48
2,017;EL ROBLE;45;240;9,6
2,017;GALERAS;78;100;3
2,017;LOS PALMITOS;99;820;22,96
2,017;MORROA;45;376;9,4
2,017;OVEJAS;220;4,729;236,45
2,017;SAMPUES;34;30;1,2
2,017;SAN BENITO ABAD;54;6;420
2,017;SAN JUAN DE BETULIA;45;40;1
2,017;SAN MARCOS;60;180;5,04
2,017;SAN ONOFRE;100;327;6,54
2,017;SAN PEDRO;45;155;3,875
2,017;SINCE;12;40;1,48
2,017;SINCELEJO;200;1,362;23,154
2,017;TOLUVIEJO;67;30;1,2
2,018;BUENAVISTA;23;30;900
2,018;CHALAN;79;14;308
2,018;COLOSO;67;300;6
2,018;COROZAL;89;220;13,75
2,018;EL ROBLE;92;400;8
2,018;GALERAS;78;100;3
2,018;LOS PALMITOS;67;780;29,25
2,018;MORROA;69;376;13,16
2,018;OVEJAS;46;5,2;286
2,018;SAMPUES;68;100;4,2
2,018;SAN ANTONIO DE PALMITO;67;27;1,512
2,018;SAN BENITO ABAD;67;200;14
2,018;SAN JUAN DE BETULIA;32;2;20
2,018;SAN MARCOS;54;180;5,04
2,018;SAN ONOFRE;97;327;6,54
2,018;SAN PEDRO;70;155;3,875
2,018;SINCE;89;40;1
2,018;SINCELEJO;98;2,86;75,79
2,018;TOLUVIEJO;12;30;600
